% LIQUIDITY FACTORS OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2020
% Column 1: Month
% Column 2: Levels of aggregated liquidity (Figure 1 in the paper)
% Column 3: Innovations in aggregated liquidity (non-traded liquidity factor; equation(8); the main series)
% Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return)
% Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical
% liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study)
% and through 2020 it is similarly successful at creating a spread in post-ranking betas. The traded
% factor has a positive and significant alpha through 2020, consistent with liquidity risk being priced.
%
% Month	Agg Liq.	Innov Liq (eq8)	Traded Liq (LIQ_V)
198203	 -0.03094867	  0.00947871	  0.04321288	
198204	  0.00482292	  0.04401032	 -0.02440709	
198205	 -0.00252187	 -0.00812837	  0.02937871	
198206	 -0.01252549	  0.02007366	  0.04982222	
198207	  0.01259311	  0.01761372	 -0.01620085	
198208	 -0.05756179	 -0.03681541	 -0.00479533	
198209	 -0.02623568	  0.02434378	  0.04229533	
198210	 -0.04193409	 -0.00623142	 -0.03734213	
198211	 -0.00449950	  0.02794611	  0.01039021	
198212	  0.00074378	  0.02937481	 -0.03160980	
198301	 -0.02967754	  0.00157440	 -0.05260168	
198302	  0.00850061	  0.03914698	 -0.02930760	
198303	 -0.04780468	 -0.02682476	  0.04336446	
198304	 -0.00443029	  0.02529532	  0.03779305	
198305	 -0.07841400	 -0.04640766	  0.01919054	
198306	 -0.00060618	  0.05065354	 -0.00040756	
198307	 -0.04744859	 -0.02534397	  0.04569342	
198308	 -0.04144412	 -0.01015657	  0.04335315	
198309	 -0.02298371	  0.02627969	  0.01099896	
198310	  0.03345522	  0.05939665	  0.05662081	
198311	  0.01423580	  0.05082330	 -0.06996360	
198312	 -0.03348880	  0.01485092	  0.05017865	
198401	 -0.02523976	 -0.00561742	  0.06659971	
198402	 -0.04212642	 -0.02755454	  0.00850094	
198403	 -0.00978825	  0.03028193	  0.00530732	
198404	 -0.08441773	 -0.04757494	  0.00830868	
198405	  0.00697020	  0.04583000	  0.02400766	
198406	 -0.01612901	  0.02458731	 -0.00547198	
198407	 -0.02665909	  0.01143891	  0.01549686	
198408	  0.00195600	  0.03288474	 -0.02667349	
198409	 -0.01877065	  0.01102877	  0.02622654	
198410	 -0.02985111	 -0.01128748	 -0.00762248	
198411	 -0.00247417	  0.00600792	  0.01602190	
198412	 -0.03583777	 -0.00305224	 -0.00493264	
198501	 -0.00842203	  0.01668562	 -0.01578563	
198502	 -0.01047746	  0.00591910	  0.02476970	
198503	  0.00590626	  0.00365378	  0.04016570	
198504	  0.00999584	  0.02995855	  0.03773248	
198505	  0.00001819	  0.02280348	 -0.00795588	
198506	 -0.00496769	 -0.00228380	  0.00735248	
198507	 -0.02195016	  0.02334148	 -0.01765668	
198508	  0.02646338	  0.03282890	  0.02672546	
198509	 -0.01922887	 -0.00872963	  0.01093591	
198510	 -0.01873793	 -0.01460016	  0.05150047	
198511	 -0.00198861	  0.02697470	  0.00672971	
198512	 -0.01582619	  0.02382048	 -0.02013096	
198601	 -0.06553081	 -0.03600005	  0.01597593	
198602	 -0.00921187	  0.01997954	  0.00281563	
198603	  0.00795009	  0.04419243	  0.03818390	
198604	  0.02940505	  0.02399864	 -0.00300567	
198605	  0.00523641	  0.01971416	  0.02628063	
198606	 -0.07055618	 -0.06538778	  0.05867345	
198607	 -0.00224490	  0.01844137	 -0.01380785	
198608	 -0.02727792	  0.01253462	 -0.02668404	
198609	 -0.00465085	 -0.02442319	  0.04453353	
198610	  0.03934875	  0.06263710	  0.01576519	
198611	  0.01649715	  0.02215459	 -0.02940300	
198612	  0.01102450	  0.03264338	 -0.01277188	
198701	 -0.02906565	 -0.00933986	 -0.07152219	
198702	  0.00543703	  0.02543056	 -0.04061123	
198703	 -0.02364483	  0.01683094	 -0.01097802	
198704	 -0.12650465	 -0.10927781	 -0.03756075	
198705	  0.00526455	  0.03063618	  0.00815739	
198706	  0.00747138	  0.05695636	  0.02275992	
198707	  0.01875058	 -0.02538119	  0.00987008	
198708	 -0.00015615	  0.01244316	 -0.04520908	
198709	 -0.04195455	 -0.05510694	  0.00486162	
198710	 -0.46139309	 -0.39227975	  0.03480785	
198711	 -0.02511267	 -0.07301420	 -0.00927515	
198712	 -0.10545333	 -0.02782210	  0.00274312	
198801	 -0.11094840	 -0.07626953	  0.04408850	
198802	 -0.03343106	  0.06198888	  0.00385365	
198803	 -0.03042102	  0.02640838	 -0.02056734	
198804	  0.00875156	  0.02888971	 -0.02535004	
198805	 -0.06857307	 -0.00135786	 -0.00543695	
198806	  0.00674897	  0.01914042	 -0.00953852	
198807	  0.01685973	  0.03245114	 -0.00947366	
198808	 -0.02477769	  0.02705728	  0.03589580	
198809	 -0.02332408	  0.00115736	  0.01492470	
198810	 -0.04266479	  0.00320106	  0.02369342	
198811	 -0.06690988	 -0.00933128	 -0.00057618	
198812	 -0.02435042	  0.00208937	 -0.04471436	
198901	  0.01821528	  0.07438606	 -0.00220187	
